,Commit,Complexity,Time,ClientName,nClients
0,7ce282bda2252a9ada2ef283d0bf4f3ca0116b7c,372.0,0,Client_82906,5
1,f95bc75df34b34d0348ef40bac49a714c8b6cd39,359.0,0,Client_82906,5
2,f07ec1abcb302184cb72db16e8363eaa13e87011,372.0,0,Client_841092,5
3,86433af96f8f745a312684650d5935a5077999d7,372.0,0,Client_82906,5
4,9a9d5042d33f891c6e403c65fd579966fbf6f42f,372.0,0,Client_841092,5
5,0144b5d8228c0418a1773757e2a13452b985f4f0,372.0,0,Client_702120,5
6,879962068a53f2891af069d72d75ff30f386a13e,359.0,0,Client_82906,5
7,1eb6d50139b2aba63cd39494cf49540c8315ba78,359.0,0,Client_841092,5
8,0ba1f19879c5c14dbe5c24f590b0c39b5f5ce204,359.0,0,Client_702120,5
9,4d70310cebd8e6d8874283562ac78a5df67be998,359.0,0,Client_869044,5
10,c809699575ab32def8ed4e278a544a01a2f88dc6,359.0,0,Client_82906,5
11,e9951a06e885be92a3c739d3c307581c484e4b95,359.0,0,Client_841092,5
12,d8aeee9dd83e6f257dec2f1ef449f2bebfb5d316,359.0,0,Client_349147,5
13,64e225cdc88fa7781ac8837f8a5ccd1d54d79e06,359.0,0,Client_702120,5
14,8dc373070910bb3cf09b830e35dec30556275923,359.0,0,Client_869044,5
15,27de3ffd225223213cd1a6bd2cae245ce02e52ee,359.0,0,Client_82906,5
16,b4fa1a5856c7eb2f84f9d406d4523d8f456d2395,359.0,0,Client_841092,5
17,c8410bfece80602df74eb89f217c8c414dc5292d,359.0,0,Client_349147,5
18,c7bbd107a529b914716551652d1ed7df7d11bff2,359.0,0,Client_869044,5
19,a2b4006abd3cbc9d7b000700fb1c2cc6af94e26d,359.0,0,Client_702120,5
20,9f5a1dd9e2ddf612ec4e8feca88b062986fec898,359.0,0,Client_82906,5
21,f40f8690f9a56ddaa7a2e510a4caa9d8a59d5fd9,359.0,0,Client_841092,5
22,cebb9974ebdfa238c70e8acb401324aad78e11c0,359.0,0,Client_349147,5
23,93aee2629a4bdf141f05cb96b52d1b7454f47597,359.0,0,Client_702120,5
24,169e33646e1523f37cc9877820d946d0bd3c274f,359.0,0,Client_869044,5
25,4d46f4ba2eda0ff5289ed6642c13fe25e6a48bdf,359.0,0,Client_82906,5
26,6b7080d9508f8332268e2a2eb36f839973e25a02,360.0,0,Client_841092,5
27,b76749162eda3e4674129796a00c8c7b26c724f1,359.0,0,Client_349147,5
28,931af5e0a69499693cf15a71b96df51b8b106c92,359.0,0,Client_702120,5
29,3b7f77ffec1ef255acf0eb94c6b4a0468bc3cae8,352.0,0,Client_869044,5
30,04ab93d2742ff6a48d47b91166f9bc4f01ff6bf9,352.0,0,Client_82906,5
31,9c247101dbc57304315f64f64232d194486cf956,360.0,0,Client_841092,5
32,67dbf7880d4064f48a0cbbca1809ee05c5761ee5,360.0,0,Client_349147,5
33,e429c4108122309d412bc7082311819b0faa93e2,360.0,0,Client_702120,5
34,f1c5948cf8381c368fb9bd9e192844028017ed37,360.0,0,Client_869044,5
35,1faf5f3bb0b81625e6e0a5042b79230469b96231,360.0,0,Client_82906,5
36,8b7613080f21744a8980bb2b070524a1d8f19a51,360.0,0,Client_841092,5
37,d71d93ae252da5f32c24555ee35a5609570a57be,360.0,0,Client_349147,5
38,78811ff32122a7f3fd82c13fecabd2cfc85bbc45,360.0,0,Client_702120,5
39,a76665a6828e04c9d430ca2ab0ffccdc4fae56d3,360.0,0,Client_869044,5
40,dfce4b46159d3144fc7991976a4ae10498fd31ba,360.0,0,Client_82906,5
41,d293817cea2a925dcd23457590fd4a488cfdb39e,360.0,0,Client_349147,5
42,49f04200df7b1b8fc3ab2e22896a85d182093914,360.0,0,Client_841092,5
43,a616385fc253e550bece430a1e61c84abf274476,360.0,0,Client_702120,5
44,e4e30dd7aa7a605b55aafd73f5f7e07170d31c14,360.0,0,Client_82906,5
45,e545f715103abe24c71159c7147d015744bc1d07,360.0,0,Client_841092,5
46,79ff32edb103d454787482ab31628ee6b5ff9cfc,355.0,0,Client_869044,5
47,f73c208d12f28246abf25df6aaf130e1a5f1c6cb,360.0,0,Client_702120,5
48,0ea9056dcc23c9315f8b12edf45affe40564c3f0,360.0,0,Client_82906,5
49,129cb8eda2ced9245c1b4ab47afc60d250eaf8cf,665.0,0,Client_349147,5
50,705be8f2c6f630f9213b16ecbb3f0009a1a6cdce,360.0,0,Client_841092,5
51,9f203c9129213e054a0fee99ee812ca869936321,360.0,0,Client_702120,5
52,9757824c9c2b116313d91089da5c9a7857d76091,360.0,0,Client_82906,5
